,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
5383,19995,1500.0,5.0,Hatchback,999.0,Manual,2019.0,Audi,Q2
5384,15790,3298.0,5.0,Hatchback,1499.0,Manual,2019.0,Ford,Focus
5385,2595,67000.0,5.0,Hatchback,1229.0,Manual,2009.0,Vauxhall,Corsa
5386,9995,52089.0,5.0,Hatchback,1600.0,Manual,2015.0,Audi,A3
5387,4695,52000.0,5.0,Hatchback,1587.0,Manual,2013.0,Peugeot,308
5388,10468,32000.0,5.0,Hatchback,1461.0,Manual,2015.0,Nissan,Qashqai
5389,9000,21014.0,5.0,Hatchback,1248.0,Automatic,2017.0,Fiat,500L
5390,15495,4999.0,5.0,Hatchback,1499.0,Manual,2020.0,Vauxhall,Crossland
5391,6300,32440.0,5.0,Hatchback,1560.0,Manual,2014.0,Citroen,C4
5392,14495,13742.0,5.0,Hatchback,1364.0,Automatic,2019.0,Vauxhall,Mokka
5393,18299,17322.0,5.0,Hatchback,1461.0,Automatic,2018.0,Mercedes-Benz,A
5394,8998,35592.0,5.0,Hatchback,1197.0,Manual,2017.0,Skoda,Fabia
5395,9195,24239.0,5.0,Hatchback,1200.0,Automatic,2016.0,Suzuki,Swift
5397,8290,1095.0,5.0,Hatchback,898.0,Manual,2018.0,Dacia,Sandero
5398,10995,32000.0,5.0,Hatchback,1399.0,Automatic,2017.0,Vauxhall,Astra
5399,7899,38563.0,5.0,Hatchback,1500.0,Manual,2014.0,Nissan,Juke
5400,6495,41261.0,3.0,Hatchback,1199.0,Manual,2017.0,Peugeot,108
5401,7799,8734.0,3.0,Hatchback,1400.0,Manual,2019.0,Vauxhall,Corsa
5402,8791,14668.0,5.0,Hatchback,999.0,Manual,2017.0,Seat,Ibiza
5403,3495,62000.0,5.0,Hatchback,1329.0,Manual,2010.0,Toyota,Yaris
5404,32000,2999.0,5.0,Hatchback,1968.0,Automatic,2020.0,Audi,A5
5405,21500,1689.0,5.0,Hatchback,2000.0,Automatic,2019.0,Volvo,V40
5406,10795,13981.0,5.0,Hatchback,898.0,Manual,2018.0,Nissan,Micra
5407,11500,15426.0,5.0,Hatchback,1400.0,Manual,2017.0,Vauxhall,Mokka
5408,5998,50001.0,5.0,Hatchback,1198.0,Manual,2013.0,Volkswagen,Polo
5409,10200,22977.0,5.0,Hatchback,998.0,Manual,2017.0,Ford,Fiesta
5410,2195,75490.0,5.0,Hatchback,1149.0,Manual,2008.0,Renault,Grand
5411,12998,12012.0,5.0,Hatchback,1364.0,Manual,2019.0,Vauxhall,Mokka
5412,11900,17144.0,5.0,Hatchback,999.0,Manual,2018.0,Ford,Focus
5413,12900,7844.0,5.0,Hatchback,1598.0,Manual,2016.0,Vauxhall,Mokka
5414,8990,32940.0,5.0,Hatchback,1.0,Automatic,2016.0,Renault,ZOE
5415,11499,17233.0,5.0,Hatchback,1969.0,Manual,2016.0,Volvo,V40
5416,15410,6500.0,5.0,Hatchback,999.0,Manual,2019.0,Ford,Focus
5417,11995,38615.0,5.0,Hatchback,1598.0,Manual,2016.0,Volkswagen,Golf
5418,16237,14446.0,5.0,Hatchback,1999.0,Manual,2017.0,Ford,Focus
5419,5795,19996.0,5.0,Hatchback,1396.0,Manual,2013.0,Kia,Venga
5420,10895,8020.0,5.0,Hatchback,898.0,Manual,2017.0,Nissan,Micra
5421,13000,14686.0,5.0,Hatchback,999.0,Manual,2017.0,Audi,A1
5422,10699,12677.0,5.0,Hatchback,999.0,Manual,2018.0,Seat,Ibiza
5423,15498,12122.0,5.0,Hatchback,1395.0,Automatic,2016.0,Volkswagen,Golf
5424,12400,12101.0,5.0,Hatchback,1598.0,Manual,2017.0,Alfa,Romeo
5426,12890,11485.0,5.0,Hatchback,1197.0,Automatic,2017.0,Volkswagen,Polo
5428,12999,42703.0,5.0,Hatchback,1968.0,Manual,2014.0,Volkswagen,Golf
5429,15800,32259.0,5.0,Hatchback,1968.0,Manual,2016.0,Volkswagen,Golf
5430,16250,15000.0,5.0,Hatchback,1999.0,Manual,2018.0,Ford,Focus
5431,8999,6744.0,3.0,Hatchback,875.0,Manual,2018.0,Fiat,500
5432,1500,83000.0,5.0,Hatchback,1598.0,Manual,2008.0,Peugeot,308
5433,13000,13992.0,5.0,Hatchback,999.0,Manual,2019.0,Volkswagen,Polo
