,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model,luxury_brand,brand_new,old,sports_car
3152,13641,66569.0,2.0,Coupe,2143.0,Automatic,2015.0,Mercedes-Benz,E,1,0,0,0
3153,11480,29592.0,2.0,Coupe,1997.0,Manual,2014.0,BMW,2,1,0,0,0
3154,13500,47286.0,4.0,Coupe,2143.0,Automatic,2015.0,Mercedes-Benz,CLA,1,0,0,0
3155,15990,47667.0,2.0,Coupe,1995.0,Automatic,2016.0,BMW,4,1,0,0,0
3156,9000,100000.0,2.0,Coupe,2987.0,Automatic,2010.0,Mercedes-Benz,E,1,0,0,1
3157,17989,41649.0,2.0,Coupe,2000.0,Automatic,2018.0,BMW,4,1,0,0,0
3158,6995,96180.0,2.0,Coupe,2993.0,Automatic,2009.0,BMW,3,1,0,0,1
3159,8490,28012.0,3.0,Coupe,1598.0,Manual,2015.0,Mini,Coupe,0,0,0,0
3160,29995,9000.0,2.0,Coupe,1984.0,Automatic,2017.0,Audi,TT,1,1,0,0
3161,5675,28352.0,3.0,Coupe,1598.0,Manual,2013.0,Mini,Coupe,0,0,0,0
3162,5995,86130.0,4.0,Coupe,1591.0,Manual,2013.0,Hyundai,Veloster,0,0,0,0
3163,19399,17356.0,5.0,Coupe,1995.0,Automatic,2017.0,BMW,4,1,0,0,0
3164,16550,81223.0,2.0,Coupe,2993.0,Automatic,2017.0,BMW,4,1,0,0,1
3165,27195,9055.0,2.0,Coupe,1950.0,Automatic,2018.0,Mercedes-Benz,C,1,1,0,0
3166,28492,1500.0,2.0,Coupe,1984.0,Automatic,2019.0,Audi,TT,1,1,0,0
3167,8595,57000.0,2.0,Coupe,1995.0,Manual,2010.0,BMW,1,1,0,0,0
3168,8290,56603.0,3.0,Coupe,1968.0,Manual,2012.0,Volkswagen,Scirocco,0,0,0,0
3169,8600,39066.0,3.0,Coupe,1197.0,Manual,2017.0,Seat,Ibiza,0,0,0,0
3170,6495,67407.0,2.0,Coupe,1798.0,Manual,2011.0,Audi,A5,1,0,0,0
3171,43552,3171.0,2.0,Coupe,1997.0,Automatic,2019.0,Jaguar,F-Type,1,1,0,0
3172,12500,113570.0,5.0,Coupe,1995.0,Automatic,2016.0,BMW,4,1,0,1,0
3173,3875,105493.0,4.0,Coupe,2987.0,Automatic,2007.0,Mercedes-Benz,CLS,1,0,1,1
3174,112500,32000.0,2.0,Coupe,6592.0,Automatic,2015.0,Rolls-Royce,Wraith,0,0,0,1
3175,4880,44000.0,2.0,Coupe,999.0,Automatic,2014.0,Smart,Fortwo,0,0,0,0
3176,13495,41007.0,2.0,Coupe,2000.0,Manual,2016.0,BMW,2,1,0,0,0
3177,23750,31000.0,2.0,Coupe,1968.0,Automatic,2017.0,Audi,TT,1,0,0,0
3178,27707,7509.0,2.0,Coupe,1950.0,Automatic,2018.0,Mercedes-Benz,C,1,1,0,0
3179,5499,64000.0,4.0,Coupe,2987.0,Automatic,2007.0,Mercedes-Benz,CLS,1,0,0,1
3180,50995,33845.0,3.0,Coupe,4700.0,Automatic,2014.0,Aston-Martin,Vantage,1,0,0,1
3181,73917,3870.0,2.0,Coupe,3800.0,Manual,2015.0,Porsche,Cayman,1,1,0,1
3182,22500,19886.0,2.0,Coupe,2143.0,Automatic,2016.0,Mercedes-Benz,C,1,0,0,0
3183,9990,49126.0,3.0,Coupe,3696.0,Manual,2009.0,Nissan,370Z,0,0,0,1
3184,123746,2951.0,4.0,Coupe,3982.0,Automatic,2019.0,Mercedes-Benz,AMG,1,1,0,1
3186,3990,92000.0,4.0,Coupe,1968.0,Automatic,2009.0,Volkswagen,CC,0,0,0,0
3187,4995,60014.0,2.0,Coupe,1796.0,Automatic,2008.0,Mercedes-Benz,CLK,1,0,0,0
3188,24995,45320.0,4.0,Coupe,2993.0,Automatic,2017.0,BMW,6,1,0,0,1
3189,7495,33275.0,3.0,Coupe,1364.0,Manual,2015.0,Vauxhall,GTC,0,0,0,0
3190,14699,18682.0,3.0,Coupe,1968.0,Automatic,2017.0,Volkswagen,Scirocco,0,0,0,0
3191,72992,2682.0,2.0,Coupe,3799.0,Automatic,2019.0,Nissan,GT-R,0,1,0,1
3192,16500,51812.0,2.0,Coupe,1968.0,Manual,2016.0,Audi,A5,1,0,0,0
3193,5495,84500.0,2.0,Coupe,1984.0,Manual,2008.0,Audi,TT,1,0,0,0
3194,9000,49000.0,4.0,Coupe,1968.0,Manual,2013.0,Volkswagen,CC,0,0,0,0
3195,1795,120000.0,2.0,Coupe,1781.0,Manual,2002.0,Audi,TT,1,0,1,0
3196,9000,45051.0,2.0,Coupe,2000.0,Manual,2012.0,BMW,3,1,0,0,0
3197,134950,10468.0,2.0,Coupe,5204.0,Automatic,2015.0,Lamborghini,Huracan,0,0,0,1
3198,9000,75800.0,2.0,Coupe,2143.0,Automatic,2012.0,Mercedes-Benz,E,1,0,0,0
3199,15691,29701.0,2.0,Coupe,2143.0,Automatic,2015.0,Mercedes-Benz,E,1,0,0,0
3200,16000,47093.0,2.0,Coupe,1995.0,Automatic,2017.0,BMW,4,1,0,0,0
3201,11490,26866.0,2.0,Coupe,2000.0,Manual,2014.0,Mazda,MX-5,0,0,0,0
3202,17110,34032.0,2.0,Coupe,1995.0,Automatic,2017.0,BMW,2,1,0,0,0
3203,10980,66769.0,2.0,Coupe,2143.0,Automatic,2012.0,Mercedes-Benz,C,1,0,0,0
3204,14000,48387.0,3.0,Coupe,1968.0,Manual,2015.0,Volkswagen,Scirocco,0,0,0,0
3205,20690,8859.0,2.0,Coupe,2000.0,Automatic,2017.0,Audi,TT,1,1,0,0
3206,20998,18224.0,2.0,Coupe,1991.0,Automatic,2017.0,Mercedes-Benz,SLC,1,0,0,0
3207,6820,60240.0,3.0,Coupe,1197.0,Manual,2015.0,Seat,Leon,0,0,0,0
3208,15870,38511.0,4.0,Coupe,2143.0,Manual,2015.0,Mercedes-Benz,CLA,1,0,0,0
3209,10695,48800.0,2.0,Coupe,1995.0,Manual,2014.0,BMW,2,1,0,0,0
3210,5998,20784.0,2.0,Coupe,999.0,Manual,2017.0,Smart,Fortwo,0,0,0,0
3211,7349,54492.0,2.0,Coupe,1598.0,Manual,2013.0,Peugeot,RCZ,0,0,0,0
3212,31499,3653.0,4.0,Coupe,2000.0,Automatic,2020.0,Mercedes-Benz,CLA,1,1,0,0
3213,18880,20145.0,2.0,Coupe,1800.0,Manual,2017.0,Audi,TT,1,0,0,0
3214,17500,51920.0,4.0,Coupe,2993.0,Automatic,2014.0,BMW,6,1,0,0,1
3215,9490,65000.0,2.0,Coupe,2143.0,Automatic,2011.0,Mercedes-Benz,C,1,0,0,0
3216,24950,6000.0,2.0,Coupe,1991.0,Automatic,2016.0,Mercedes-Benz,C,1,1,0,0
3217,14400,45245.0,3.0,Coupe,1968.0,Manual,2017.0,Volkswagen,Scirocco,0,0,0,0
3218,28000,1292.0,2.0,Coupe,1984.0,Automatic,2019.0,Audi,TT,1,1,0,0
3219,9490,72000.0,3.0,Coupe,1968.0,Manual,2014.0,Volkswagen,Scirocco,0,0,0,0
3220,17949,31000.0,2.0,Coupe,2998.0,Manual,2016.0,BMW,2,1,0,0,1
3221,11499,50416.0,2.0,Coupe,2143.0,Automatic,2014.0,Mercedes-Benz,C,1,0,0,0
3222,11499,29000.0,3.0,Coupe,1400.0,Manual,2017.0,Seat,Leon,0,0,0,0
3223,8499,72000.0,2.0,Coupe,1995.0,Manual,2014.0,BMW,2,1,0,0,0
3224,13498,42197.0,2.0,Coupe,2143.0,Manual,2015.0,Mercedes-Benz,E,1,0,0,0
3225,16470,22386.0,2.0,Coupe,1995.0,Automatic,2016.0,BMW,4,1,0,0,0
3226,13995,37216.0,2.0,Coupe,2143.0,Automatic,2015.0,Mercedes-Benz,E,1,0,0,0
3227,6990,66000.0,2.0,Coupe,1995.0,Manual,2013.0,BMW,1,1,0,0,0
